set,training,validation,test
fold1,0.84,0.5,0.8
fold2,0.82,0.84,0.84
fold3,0.84,0.78,0.85
fold4,0.85,0.82,0.79
fold5,0.84,0.83,0.82
fold6,0.82,0.85,0.83
fold7,0.83,0.79,0.85
ave.,0.83,0.82,0.83
