set,training,validation,test
fold1,0.89,1,0.92
fold2,0.89,0.91,0.88
fold3,0.89,0.85,0.9
fold4,0.9,0.9,0.86
fold5,0.9,0.86,0.89
fold6,0.9,0.86,0.85
fold7,0.9,0.9,0.86
fold8,0.9,0.84,0.91
fold9,0.91,0.86,0.84
fold10,0.91,0.92,0.86
ave.,0.9,0.88,0.87
