set,training,validation,test
fold1,0.85,0.85,0.85
fold2,0.85,0.85,0.85
fold3,0.85,0.85,0.85
fold4,0.85,0.85,0.85
fold5,0.85,0.85,0.85
fold6,0.85,0.85,0.85
fold7,0.85,0.85,0.85
fold8,0.85,0.85,0.85
fold9,0.85,0.86,0.85
fold10,0.85,0.85,0.86
ave.,0.85,0.85,0.85
